IGNORE FOR NOW Brand (from cigargeek_detail.csv),Brand,Brand,Brand cleaned,"some variations in name, 
denoted as same. 
add to transform rules?",Instructions,Title (Brand + Line) Best Cigar Prices,Title (Brand + Line) JR Cigars,Title (Brand + Line) Atlantic Cigar,Title (Brand + Line) Cigar International,Title (Brand + Line) Neptune,Title (Brand + Line) famous smoke
Cigar Federation,601,601,601,,Compare column D and column G to K,1875 by Romeo y Julieta,10 Años by Esteban Carreras,10 Packs,1876 Reserve,1502,1994 by La Flor Dominicana
Tatuaje,601,1502,1502,,Column G to K are all Brand+Line,3 X 3,1502 Black Gold,20 Acre Farm by Drew Estate,1876 Reserve Maduro,1502 Black Gold,20 Acre Farm
Ashton,601,7-20-2004,7-20-2004,,Column D is all Brand,300 Hands by Southern Draw,1502 Blue Sapphire,601 Black Label,3x3 Tubos by Davidoff,1502 Blue Sapphire,2012 By Oscar
Romeo y Julieta,601,1876 Key West,1876 Key West,,Match the front of each string to the longest version possible of Brand,5 VEGAS CLASSIC,1502 Cachitos,601 Blue Label Maduro,5 Vegas Cigars,1502 Emerald,3 Kingdoms
Don Asa,1502,20 Acre Farm,,,The part after the Brand will be the Line,5 Vegas Gold,1502 Cigars,601 Green Label Oscuro,5 Vegas Big Five,1502 Nicaragua,300 Hands Connecticut By Southern Draw
Cabo Classic,1502,3 X 3,,,,5 Vegas Series A,1502 Emerald,601 La Bomba,5 Vegas Cask-Strength,1502 Ruby,300 Hands Habano By Southern Draw
5 Vegas,7-20-2004,5 Vegas,5 Vegas,,For example:,601 Black,1502 Nicaragua,601 Red Label Habano,5 Vegas Classic,601,300 Hands Maduro By Southern Draw
PIO,1876 Key West,5 VEGAS CLASSIC,,,Brand: 601 (cell D2),601 Blue,1502 Ruby,ACE Prime Fiat Lux,5 Vegas Gold,601 Black,3x3 Tubo by Davidoff
Garofalo,20 Acre Farm,7 20 4,7 20 4,,compare it to G to K column,601 Green,1502 XO,ACE Prime Luciano The Dreamer,5 Vegas Gold Anniversary,601 Habano,6 Pack Samplers
Flor de Gonzalez,3 X 3,A. Flores,A. Flores,,Brand+Line match example: G8 to G13,601 La Bomba,1876 Key West Bundles,ACE Prime Pichardo Reserva Familiar,5 Vegas Nicaragua,601 La Bomba,601
