z_minScore,z_maxScore,z_cluster,row_id,title_unfiltered,title_filtered,binder,wrapper,filler,size,country,length_fraction,length_float,ring_gauge,strength,rating,extract_vitola,extract_seed,extract_color,extract_region,extract_brand,extract_line,extract_size
"","",3,3,h. upmann 1844 classic churchill,h. upmann 1844 classic,honduran,ecuadorian,honduran,churchill,honduran,7,7,50,mild-medium,88,"","","","",h. upmann,1844 classic,churchill
0.9999981254576294,0.9999981254576294,7,7,l’atelier selection speciale lat 52 special,l’atelier selection speciale lat 52 special,nicaraguan,ecuadorian,nicaraguan,robusto,nicaraguan,4 3/4,4.75,52,full,90,"","","","","","",""
0.9999855981335165,0.9999995198570374,13,13,la aurora puro vintage 2008 salomon,la aurora puro vintage 2008 salomon,dominican republic,dominican republic,"brazilian, colombia, dominican republic, nicaraguan",figurado,dominican republic,6 1/2,6.5,60,medium-full,90,salomon,"","","",la aurora,puro vintage,2008 salomon
0.5739830581898142,0.5739830581898142,20,20,la gloria cubana medio tiempo robusto,la gloria cubana medio tiempo,united states/connecticut broadleaf,ecuadorian,"dominican republic, honduran, nicaraguan, united states/connecticut habano",robusto,dominican republic,5,5,54,medium-full,87,"","","","",la gloria cubana,medio tiempo,robusto
"","",21,21,oliva serie v melanio maduro toro,oliva  v melanio maduro,nicaraguan,mexico,nicaraguan,toro,nicaraguan,6,6,52,medium-full,91,"","",maduro,"",oliva,serie v melanio maduro,toro
"","",39,39,oliva serie v melanio maduro no. 4,oliva  v melanio maduro no. 4,nicaraguan,mexico,nicaraguan,robusto,nicaraguan,4 1/2,4.5,46,medium-full,93,"","",maduro,"",oliva,serie v melanio maduro,no. 4
0.0,0.9918661077799983,41,41,avo classic belicoso,avo classic belicoso,dominican republic,ecuadorian,dominican republic,figurado,dominican republic,6,6,48,medium,87,belicoso,"","","",avo,classic,belicoso
0.9999457295302204,0.9999981254576294,45,45,ashton cabinet selection tres petite,ashton cabinet selection tres,dominican republic,united states/connecticut shade,dominican republic,petit corona,dominican republic,4 3/8,4.38,42,mild-medium,90,"","","","",ashton,cabinet selection tres,petite
0.9807275099566922,0.9999981254576294,47,47,padron 7000,padron 7000,nicaraguan,nicaraguan,nicaraguan,grande,nicaraguan,6 1/4,6.25,60,medium,89,"","","","",padron,"",""
"","",51,51,pichardo reserva familiar connecticut 6 x 52,pichardo reserva familiar connecticut 6 x 52,nicaraguan,ecuadorian,nicaraguan,toro,nicaraguan,6,6,52,medium,92,"",connecticut,"","",pichardo,reserva familiar connecticut,6 x 52
0.9999961504280264,0.9999961504280264,52,52,liberation by hamlet toro,liberation by hamlet,nicaraguan,ecuadorian,nicaraguan,figurado,nicaraguan,6 1/2,6.5,55,medium-full,88,"","","","","","",""
0.9999981254576294,0.9999981254576294,53,53,my father connecticut robusto,my father connecticut,nicaraguan,ecuadorian,nicaraguan,robusto,nicaraguan,5 1/4,5.25,52,mild-medium,90,"",connecticut,"","",my father,connecticut,robusto
0.9999981254576294,0.9999981254576294,56,56,h. upmann magnum 54,h. upmann magnum 54,cuba,cuba,cuba,robusto,cuba,4 3/4,4.75,54,medium-full,87,"","","","",h. upmann,magnum,54
0.0,0.9999934171745454,58,58,rocky patel vintage 1992 juniors,rocky patel vintage 1992 juniors,nicaraguan,ecuadorian,"dominican republic, nicaraguan",petit corona,honduran,4,4,38,medium-full,87,"","","","",rocky patel,vintage 1992,juniors
0.48198454362742793,0.48198454362742793,70,70,la flor dominicana cameroon cabinet no. 3,la flor dominicana cameroon cabinet no. 3,dominican republic,cameroon,dominican republic,petit corona,dominican republic,4 3/4,4.75,40,medium-full,89,"",cameroon,"","",la flor dominicana,cameroon cabinet no.,3
0.9570244054919557,0.9999981254576294,71,71,romeo y julieta 1875 nicaragua magnum,romeo y julieta 1875 nicaragua magnum,nicaraguan,nicaraguan,nicaraguan,grande,nicaraguan,6,6,60,medium,88,"","","","",romeo y julieta,1875 nicaragua,magnum
0.9999981254576294,0.9999981254576294,74,74,montecristo 1935 anniversary nicaragua churchill,montecristo 1935 anniversary nicaragua,nicaraguan,nicaraguan,nicaraguan,churchill,nicaraguan,7,7,52,medium-full,92,"","","","",montecristo,1935 anniversary nicaragua,churchill
0.9999250358291281,0.9999981254576294,77,77,oliva connecticut reserve petit corona,oliva connecticut reserve,nicaraguan,ecuadorian,nicaraguan,petit corona,nicaraguan,4,4,38,mild-medium,88,"",connecticut,"","",oliva,connecticut reserve,petit corona
0.9999981254576294,0.9999981254576294,78,78,mombacho liga maestro doble robusto,mombacho liga maestro doble,nicaraguan,nicaraguan,nicaraguan,churchill,nicaraguan,6 3/4,6.75,50,medium,86,"","","","",mombacho,liga maestro,doble robusto
"","",85,85,san cristobal quintessence churchill,san cristobal quintessence,nicaraguan,ecuadorian,nicaraguan,churchill,nicaraguan,7,7,49,medium-full,94,"","","","",san cristobal,quintessence,churchill
0.9999981254576294,0.9999981254576294,86,86,ramon allones perfectos exclusivo mexico,ramon allones perfectos exclusivo mexico,cuba,cuba,cuba,figurado,cuba,6 1/4,6.25,47,medium-full,92,"","","","",ramon allones,"",""
0.9999981254576294,0.9999981254576294,96,96,illusione cruzado robusto,illusione cruzado,nicaraguan,nicaraguan,nicaraguan,robusto,nicaraguan,5 1/4,5.25,50,medium-full,94,"","","","",illusione,cruzado,robusto
0.9999981254576294,0.9999981254576294,97,97,illusione cruzado short robusto,illusione cruzado short,nicaraguan,nicaraguan,nicaraguan,odd,nicaraguan,4 1/4,4.25,48,medium-full,91,"","","","",illusione,cruzado,short robusto
0.0,0.9999981254576294,98,98,illusione cruzado churchill,illusione cruzado,nicaraguan,nicaraguan,nicaraguan,churchill,nicaraguan,6 3/4,6.75,48,medium,89,"","","","",illusione,cruzado,churchill
0.0,0.8259592067106684,100,103,aladino habano vintage selection elegante,aladino habano vintage selection elegante,honduran,honduran,honduran,panetela,honduran,7,7,38,medium-full,87,"",habano,"","",aladino,habano vintage selection,elegante
"","",105,105,kristoff 685 woodlawn toro box press,kristoff 685 woodlawn  box press,brazilian,brazilian,"dominican republic, nicaraguan",toro,dominican republic,6 1/4,6.25,54,medium,87,box press,"","","",kristoff,"",""
"","",106,106,saint luis rey carenas robusto,saint luis rey carenas,honduran,nicaraguan,honduran,robusto,honduran,5,5,50,medium,88,"","","","",saint luis rey,carenas,robusto
0.9999981254576294,0.9999981254576294,73,109,saint luis rey carenas magnum,saint luis rey carenas magnum,honduran,nicaraguan,honduran,grande,honduran,6,6,60,medium-full,89,"","","","",saint luis rey,carenas,magnum
0.9999981254576294,0.9999981254576294,7,111,l’atelier selection speciale lat 52 special,l’atelier selection speciale lat 52 special,nicaraguan,ecuadorian,nicaraguan,robusto,nicaraguan,4 3/4,4.75,52,full,90,"","","","","","",""
"","",112,112,l’atelier selection speciale lat 56 special,l’atelier selection speciale lat 56 special,nicaraguan,ecuadorian,nicaraguan,toro,nicaraguan,6 1/2,6.5,56,medium-full,87,"","","","","","",""
0.9999981254576294,0.9999981254576294,89,113,por larranaga galanes,por larranaga galanes,cuba,cuba,cuba,robusto,cuba,4 3/4,4.75,52,medium,92,"","","","",por larranaga,"",""
"","",114,114,southern draw manzanita gordo,southern draw manzanita,nicaraguan,nicaraguan,nicaraguan,grande,nicaraguan,6 1/2,6.5,60,mild-medium,87,"","","","",southern draw,manzanita,gordo
"","",116,116,southern draw manzanita toro,southern draw manzanita,nicaraguan,nicaraguan,nicaraguan,toro,nicaraguan,6,6,52,medium,88,"","","","",southern draw,manzanita,toro
"","",123,123,rocky patel winter collection sixty,rocky patel winter collection sixty,nicaraguan,mexico,"honduran, nicaraguan",grande,nicaraguan,6 1/2,6.5,60,medium-full,88,"","","","",rocky patel,winter collection,sixty
"","",124,124,rocky patel winter collection robusto,rocky patel winter collection,nicaraguan,mexico,"honduran, nicaraguan",toro,nicaraguan,5 1/2,5.5,50,medium-full,90,"","","","",rocky patel,winter collection,robusto
0.9807275099566922,0.9999981254576294,126,126,la flor dominicana air bender valiente,la flor dominicana air bender valiente,dominican republic,ecuadorian,dominican republic,grande,dominican republic,6 1/4,6.25,60,medium-full,88,"","","","",la flor dominicana,air bender,valiente
0.0,0.9978402837315171,127,127,7-20-4 factory 57 churchill,7-20-4 factory 57,costa rica,nicaraguan,"colombia, honduran, nicaraguan",churchill,honduran,7,7,48,medium,87,"","","","","","",""
0.9999908498086989,0.9999981254576294,5,131,la flor dominicana air bender chisel,la flor dominicana air bender chisel,dominican republic,ecuadorian,dominican republic,figurado,dominican republic,6 1/2,6.5,54,full,92,"","","","",la flor dominicana,air bender,chisel
0.9889108514479904,0.9999981254576294,133,133,la flor dominicana air bender poderoso,la flor dominicana air bender poderoso,dominican republic,ecuadorian,dominican republic,corona,dominican republic,5 1/2,5.5,44,medium,90,"","","","",la flor dominicana,air bender,poderoso
0.9999981254576294,0.9999981254576294,134,134,la flor dominicana air bender maestro,la flor dominicana air bender maestro,dominican republic,ecuadorian,dominican republic,toro,dominican republic,5 1/2,5.5,52,medium-full,90,"","","","",la flor dominicana,air bender,maestro
0.9999894704271381,0.9999981254576294,135,135,la flor dominicana air bender matatan,la flor dominicana air bender matatan,dominican republic,ecuadorian,dominican republic,robusto,dominican republic,5,5,50,medium-full,88,"","","","",la flor dominicana,air bender,matatan
0.9999981254576294,0.9999981254576294,143,143,fonseca by my father belicoso,fonseca by my father belicoso,nicaraguan,nicaraguan,nicaraguan,figurado,nicaraguan,5 1/2,5.5,54,medium,90,belicoso,"","","",fonseca,by my father,belicoso
0.9900317719475603,0.9900317719475603,144,144,micallef connecticut robusto,micallef connecticut,nicaraguan,ecuadorian,"dominican republic, nicaraguan",robusto,nicaraguan,5,5,52,medium,89,"",connecticut,"","",micallef,"",""
0.9999981254576294,0.9999981254576294,145,145,mil dias edmundo,mil dias edmundo,nicaraguan,ecuadorian,"costa rica, nicaraguan, peru",odd,nicaraguan,5 3/8,5.38,52,medium,91,"","","","","","",""
0.9999981254576294,0.9999981254576294,146,146,601 blue label maduro torpedo,601 blue label maduro torpedo,nicaraguan,united states/connecticut broadleaf,nicaraguan,figurado,nicaraguan,6 1/8,6.13,52,full,93,torpedo,"",maduro,"",601,blue label maduro,torpedo
0.8642272723187856,0.9807275099566922,147,147,oneoff corona gorda,oneoff,nicaraguan,nicaraguan,nicaraguan,odd,nicaraguan,5 3/8,5.38,46,medium-full,92,"","","","",oneoff,"",""
0.9999981254576294,0.9999981254576294,148,148,my father the judge grand robusto,my father the judge grand,nicaraguan,ecuadorian,nicaraguan,grande,nicaraguan,5,5,60,medium-full,92,"","","","",my father,the judge,grand robusto
0.9999981254576294,0.9999981254576294,155,155,padron damaso no. 12,padron damaso no. 12,nicaraguan,ecuadorian,nicaraguan,robusto,nicaraguan,5,5,50,mild-medium,93,"","","","",padron,damaso no.,12
0.9999975318270776,0.9999975318270776,162,162,muwat bait fish,muwat bait fish,ecuadorian,mexico,"brazilian, nicaraguan",odd,nicaraguan,4,4,44,medium-full,89,"","","","","","",""
